18770,Er prügelte ihm die Seele aus dem Leib,11,1,1
43985,Sie stinkt vor Faulheit,11,4,2
253486,Sie bricht ihm das Herz,11,7,3
58082,Er führt Böses im Schilde,11,8,4
216250,Sie holt sich den Tod,11,11,5
370379,Ihr läuft die Galle über,11,13,6
352243,Er hat bei ihm verspielt,11,25,7
146744,Sie macht ihr die Hölle hei§,11,27,8
240383,Er benimmt sich wie ein Elefant im Porzellanladen,11,28,9
449922,Sie schwitzte Blut und Wasser,11,30,10
37918,Er kriegte eine Gänsehaut,22,31,11
414681,Er ist über alle Berge,22,32,12
213222,Sie redet nicht um den heißen Brei,22,33,13
100390,Er nimmt es sich zu Herzen,22,34,14
395546,Er plaudert aus dem Nähkästchen,22,35,15
257520,Sie hat die Weisheit mit Löffeln gefressen,22,36,16
224285,Es ist Jacke wie Hose,22,46,17
344173,Es ist in aller Munde,22,55,18
79247,Er ist bekannt wie ein bunter Hund,22,57,19
381441,Er spitzte die Ohren,22,59,20
125584,Er redete mit Engelszungen,33,61,21
264576,Er schwimmt im Geld,33,62,22
67151,Er lässt sein Herz sprechen,33,65,23
138680,Er grinst wie ein Honigkuchenpferd,33,73,24
29839,Mir fällt ein Stein vom Herzen,33,75,25
228325,Er hegt einen Traum,33,77,26
316986,Sie eroberte sein Herz,33,80,27
7696,Sie holt für ihn die Sterne vom Himmel,33,84,28
152772,Er grinst Über beide Ohren,33,85,29
436831,Sie ist fit wie ein Turnschuh,33,86,30
337134,Er fällt durch die Abschlussprüfung,44,95,31
364350,Er leidet unter der Trennung seiner Eltern,44,99,32
171921,Sie macht sich Sorgen um ihre Zukunft,44,101,33
51048,Ihm ist Übel geworden,44,104,34
110486,Sie ist unfähig,44,106,35
328077,Das ist eine traurige Geschichte,44,108,36
76213,Sie ist Überarbeitet,44,110,37
185017,Er kann das nicht mehr leiden,44,115,38
24804,Er geht kaum noch aus dem Haus,44,118,39
142714,Sie lag erschöpft im Bett,44,119,40
312947,Es macht keinen Unterschied für ihn,55,124,41
410647,Er denkt jetzt daran,55,127,42
114515,Sie erzählt was passiert ist,55,130,43
232354,Sie denkt über die Vor- und Nachteile nach,55,134,44
422711,Die Beschreibung des Projektes ist jetzt verfügbar,55,136,45
399579,Sie beschäftigt sich mit dem Thema,55,142,46
293826,Es wurde heute aufgeräumt,55,143,47
374413,Es ist nicht so schwierig,55,145,48
84281,Sie ist nun ruhig,55,146,49
200120,Er merkt wie sich die Sachen entwickeln,55,147,50
282752,Sie fühlt sich sorglos,66,158,51
324043,Sie lacht über den Scherz,66,161,52
278717,Er fühlt sich entspannt und locker,66,162,53
177954,Er freundet sich mit ihm an,66,165,54
321015,Er wird freundlich aufgenommen,66,167,55
425751,Sie schläft gut,66,168,56
440859,Er gewinnt neues Selbstvertrauen,66,169,57
267611,Sie freut sich auf den Urlaub,66,173,58
73180,Sie machen heute ein Picknick am Strand,66,177,59
103419,Sie ist überglücklich deswegen,66,180,60
40952,### #### ########,77,185,71
48019,### #### ##### ######## #### ###,77,186,
250457,## ##### ##### ##### ######,77,188,
272645,##### ##### ##### ##### #### ####,77,189,
349203,## ### ##### ############,77,194,
355277,#### ## ### ##### #####,77,197,
261549,### ##### ##### ##### ##### #### ### ##### ######,77,207,
181989,### ##### ##### ## ### ###### ####,77,209,
300854,### ##### #### ##### ##### ## #####,77,210,
12729,## ####### ##### #####,77,212,
122544,## #### #### #######,77,220,
243423,## ##### ### ### #####,77,222,
194091,## ##### ### ### ###### ### ######,77,225,
443888,### ##### ### ####### ####,77,226,
132647,## ##### ## #### ### #####,77,228,
332106,#### #### ### ##### ### #####,77,229,
129619,##### ##### ## ####### #### ########## ### ########,77,230,
168887,#### ### ##### #### ####,77,231,
63111,### ####### ##### #######,77,234,
160807,#### ##### ##### ### ########,77,235,
392511,## ## ##########,77,239,
404608,### #### ####### ##,77,241,
106453,### ### ######### ### #####,77,249,
96357,## ### #### ###### ### ### ########## ##,77,250,
453956,#### ###### ####### #########,77,251,
304884,#### ### ########## #########,77,252,
209194,#### ###### ###### #######,77,256,
275683,### ### ########## ##########,77,257,
307912,## ### ##### ######,77,261,
389471,## ##### ###### ##### #####,77,270,
1628,Sie hat etwas vor,99,271,61
4662,Er mag keine Suppe,99,272,62
32878,Bin ich erleichtert?,88,901,63
91321,Springt sie wild herum?,88,902,64
163846,Hast du soeben einen Satz gelesen?,88,903,65
188050,Mag er das immernoch gerne?,88,904,66
203154,Ist ihm die Entwicklung aufgefallen?,88,905,67
287779,Ist sie unbeschwert?,88,906,68
358311,Hast du soeben viele Dreiecke gesehen?,88,907,69
430784,Hat sie einen gesunden Schlaf?,88,908,70
